round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.0381
22,phase2,0.0350
23,phase2,0.0355
24,phase2,0.0340
25,phase2,0.0355
26,phase2,0.0355
27,phase2,0.0345
28,phase2,0.0375
29,phase2,0.0340
30,phase2,0.0351
31,phase2,0.0361
32,phase2,0.0345
33,phase2,0.0340
34,phase2,0.0340
35,phase2,0.0335
36,phase2,0.0360
37,phase2,0.0369
38,phase2,0.0349
39,phase2,0.0336
40,phase2,0.0337
41,phase2,0.0450
42,phase2,0.0335
43,phase2,0.0350
44,phase2,0.0354
45,phase2,0.0350
46,phase2,0.0380
47,phase2,0.0340
48,phase2,0.0346
49,phase2,0.0355
50,phase2,0.0345
