round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.399228,0.273384,0.640329,0.291045,0.000000,0.061538,0.356436,0.227409,0.496815,0.210254,0.000000,0.276074,0.656489,0.064220,0.474251,0.245283,0.000000,0.800000,0.461538,0.607029,0.541667,0.180284,0.000000,0.251397,0.611374,0.700000,0.985409,0.357798,0.000000,0.032000,0.290323,0.139912,0.458824,0.252174,0.000000,0.306122,0.708791,0.033654
2,warmup,0.778938,0.513356,0.966370,0.378788,0.000000,0.557143,0.719323,0.835294,0.621762,0.793939,0.000000,0.334601,0.747525,0.205534,0.982897,0.322581,0.000000,0.503226,0.639098,0.834068,0.555556,0.775148,0.000000,0.379310,0.680180,0.577778,0.950389,0.458716,0.000000,0.624000,0.822581,0.836524,0.705882,0.813665,0.000000,0.299320,0.829670,0.125000
3,warmup,0.818429,0.555953,0.975705,0.376068,0.000000,0.565657,0.780635,0.886751,0.640884,0.853890,0.000000,0.334601,0.770889,0.486352,0.974757,0.352000,0.000000,0.488372,0.735043,0.891369,0.604167,0.869845,0.000000,0.379310,0.756614,0.502564,0.976654,0.403670,0.000000,0.672000,0.832258,0.882180,0.682353,0.838509,0.000000,0.299320,0.785714,0.471154
4,warmup,0.842488,0.587429,0.978313,0.384000,0.000000,0.592357,0.789392,0.913799,0.703030,0.886174,0.000000,0.376471,0.790698,0.634921,0.969436,0.340426,0.000000,0.492063,0.764350,0.918216,0.725000,0.918667,0.000000,0.444444,0.746341,0.705882,0.987354,0.440367,0.000000,0.744000,0.816129,0.909426,0.682353,0.855901,0.000000,0.326531,0.840659,0.576923
5,warmup,0.849977,0.608187,0.981022,0.463320,0.041667,0.649254,0.805281,0.918486,0.677419,0.898013,0.036364,0.381679,0.779070,0.666667,0.981500,0.400000,0.041667,0.608392,0.824324,0.907914,0.623762,0.961702,0.033333,0.434783,0.827160,0.596958,0.980545,0.550459,0.041667,0.696000,0.787097,0.929308,0.741176,0.842236,0.040000,0.340136,0.736264,0.754808
6,warmup,0.862914,0.626467,0.980184,0.476190,0.081633,0.646154,0.813665,0.925065,0.711656,0.918605,0.039216,0.422311,0.805556,0.697368,0.974063,0.419580,0.080000,0.622222,0.784431,0.927461,0.743590,0.956931,0.038462,0.509615,0.814607,0.641129,0.986381,0.550459,0.083333,0.672000,0.845161,0.922680,0.682353,0.883230,0.040000,0.360544,0.796703,0.764423
7,warmup,0.861779,0.625752,0.978785,0.454212,0.000000,0.633205,0.826156,0.926190,0.753247,0.919334,0.066667,0.458015,0.784884,0.708333,0.970363,0.378049,0.000000,0.611940,0.817035,0.942792,0.840580,0.948481,0.057143,0.521739,0.833333,0.625000,0.987354,0.568807,0.000000,0.656000,0.835484,0.910162,0.682353,0.891925,0.080000,0.408163,0.741758,0.817308
8,warmup,0.852474,0.621596,0.980695,0.387931,0.164384,0.572254,0.793049,0.923536,0.776316,0.906070,0.083333,0.400000,0.761905,0.709677,0.973180,0.365854,0.122449,0.447964,0.777090,0.935752,0.880597,0.932895,0.086957,0.554217,0.902256,0.642023,0.988327,0.412844,0.250000,0.792000,0.809677,0.911635,0.694118,0.880745,0.080000,0.312925,0.659341,0.793269
9,warmup,0.874489,0.658018,0.981643,0.483051,0.109091,0.677966,0.826021,0.929955,0.769231,0.922201,0.111111,0.533835,0.820513,0.731602,0.975048,0.448819,0.096774,0.720721,0.777778,0.941176,0.845070,0.939433,0.103448,0.596639,0.852071,0.665354,0.988327,0.522936,0.125000,0.640000,0.880645,0.918999,0.705882,0.905590,0.120000,0.482993,0.791209,0.812500
10,warmup,0.878121,0.656608,0.982134,0.474708,0.078431,0.651852,0.838811,0.931691,0.779221,0.925525,0.042553,0.573477,0.834225,0.766667,0.975072,0.412162,0.074074,0.606897,0.814590,0.944739,0.869565,0.949086,0.045455,0.606061,0.812500,0.759434,0.989300,0.559633,0.083333,0.704000,0.864516,0.918999,0.705882,0.903106,0.040000,0.544218,0.857143,0.774038
11,warmup,0.880844,0.663616,0.984066,0.483871,0.078431,0.690476,0.835866,0.935161,0.792208,0.924855,0.068966,0.578947,0.825843,0.764706,0.976989,0.431655,0.074074,0.685039,0.790230,0.941089,0.884058,0.957447,0.060606,0.647059,0.844828,0.722222,0.991245,0.550459,0.083333,0.696000,0.887097,0.929308,0.717647,0.894410,0.080000,0.523810,0.807692,0.812500
12,warmup,0.890604,0.693028,0.980317,0.544643,0.166667,0.702041,0.838415,0.945135,0.812500,0.922280,0.129032,0.659933,0.827195,0.788177,0.967773,0.530435,0.166667,0.716667,0.794798,0.938953,0.866667,0.963464,0.108108,0.653333,0.853801,0.808081,0.993191,0.559633,0.166667,0.688000,0.887097,0.951399,0.764706,0.884472,0.160000,0.666667,0.802198,0.769231
13,warmup,0.881752,0.684607,0.983591,0.512000,0.142857,0.682731,0.826866,0.937641,0.784810,0.915210,0.158730,0.678445,0.838527,0.753880,0.976054,0.453901,0.125000,0.685484,0.769444,0.957055,0.849315,0.955405,0.131579,0.705882,0.865497,0.699588,0.991245,0.587156,0.166667,0.680000,0.893548,0.918999,0.729412,0.878261,0.200000,0.653061,0.813187,0.817308
14,warmup,0.895824,0.696133,0.982134,0.576271,0.127660,0.697479,0.857595,0.945111,0.794872,0.925950,0.101695,0.708772,0.838889,0.797170,0.975072,0.535433,0.130435,0.734513,0.841615,0.933238,0.873239,0.961230,0.088235,0.731884,0.848315,0.782407,0.989300,0.623853,0.125000,0.664000,0.874194,0.957290,0.729412,0.893168,0.120000,0.687075,0.829670,0.812500
15,warmup,0.896505,0.709398,0.985423,0.575107,0.186047,0.724891,0.851330,0.943286,0.789809,0.926302,0.193548,0.716216,0.840000,0.780822,0.984466,0.540323,0.210526,0.798077,0.826748,0.937455,0.861111,0.947984,0.162162,0.711409,0.875000,0.743478,0.986381,0.614679,0.166667,0.664000,0.877419,0.949190,0.729412,0.905590,0.240000,0.721088,0.807692,0.822115
16,warmup,0.885157,0.687915,0.978907,0.536000,0.161290,0.700422,0.834356,0.945835,0.787097,0.922392,0.160000,0.641509,0.810651,0.776524,0.965028,0.475177,0.131579,0.741071,0.795322,0.959818,0.871429,0.945241,0.120000,0.720339,0.878205,0.731915,0.993191,0.614679,0.208333,0.664000,0.877419,0.932253,0.717647,0.900621,0.240000,0.578231,0.752747,0.826923
17,warmup,0.897640,0.692935,0.985479,0.521739,0.109091,0.714286,0.856250,0.947212,0.765432,0.934742,0.137931,0.684932,0.847826,0.810304,0.980732,0.551020,0.096774,0.752212,0.830303,0.956456,0.805195,0.935323,0.121212,0.689655,0.838710,0.789954,0.990272,0.495413,0.125000,0.680000,0.883871,0.938144,0.729412,0.934161,0.160000,0.680272,0.857143,0.831731
18,warmup,0.896505,0.693437,0.985479,0.519685,0.178571,0.674897,0.864078,0.953599,0.805031,0.934101,0.103448,0.683099,0.817391,0.801865,0.980732,0.455172,0.156250,0.694915,0.866883,0.946338,0.864865,0.963061,0.090909,0.708029,0.865031,0.778281,0.990272,0.605505,0.208333,0.656000,0.861290,0.960972,0.752941,0.906832,0.120000,0.659864,0.774725,0.826923
19,warmup,0.902406,0.714230,0.986434,0.558333,0.244898,0.696035,0.868878,0.952312,0.832298,0.929757,0.129032,0.701031,0.855524,0.816229,0.982625,0.511450,0.240000,0.774510,0.851393,0.941685,0.881579,0.956636,0.108108,0.708333,0.883041,0.810427,0.990272,0.614679,0.250000,0.632000,0.887097,0.963181,0.788235,0.904348,0.160000,0.693878,0.829670,0.822115
20,warmup,0.904902,0.717068,0.985017,0.547826,0.244898,0.689655,0.864697,0.952104,0.839506,0.937420,0.153846,0.705085,0.851429,0.833333,0.978866,0.520661,0.240000,0.747664,0.834835,0.938484,0.883117,0.964520,0.148148,0.702703,0.886905,0.850000,0.991245,0.577982,0.250000,0.640000,0.896774,0.966127,0.800000,0.911801,0.160000,0.707483,0.818681,0.817308
21,phase2,0.895824,0.724417,0.984481,0.593607,0.181818,0.703390,0.859873,0.934857,0.848485,0.927273,0.285714,0.738562,0.839286,0.795652,0.981625,0.590909,0.161290,0.747748,0.849057,0.968429,0.875000,0.905325,0.222222,0.710692,0.915584,0.726190,0.987354,0.596330,0.208333,0.664000,0.870968,0.903535,0.823529,0.950311,0.400000,0.768707,0.774725,0.879808
22,phase2,0.907399,0.736513,0.986925,0.538071,0.297872,0.710744,0.876404,0.948392,0.872727,0.932424,0.218750,0.739394,0.878187,0.838269,0.982642,0.602273,0.304348,0.735043,0.872204,0.963526,0.900000,0.930693,0.179487,0.666667,0.906433,0.796537,0.991245,0.486239,0.291667,0.688000,0.880645,0.933726,0.847059,0.934161,0.280000,0.829932,0.851648,0.884615
23,phase2,0.912392,0.745993,0.988764,0.587719,0.260870,0.720339,0.890344,0.949495,0.871166,0.940893,0.276923,0.741722,0.872521,0.851163,0.993131,0.563025,0.272727,0.765766,0.903654,0.965019,0.910256,0.914420,0.225000,0.722581,0.900585,0.824324,0.984436,0.614679,0.250000,0.680000,0.877419,0.934462,0.835294,0.968944,0.360000,0.761905,0.846154,0.879808
24,phase2,0.911257,0.762567,0.987835,0.644068,0.291667,0.754864,0.884735,0.944571,0.878049,0.935445,0.369231,0.768116,0.876081,0.816143,0.988315,0.598425,0.291667,0.734848,0.855422,0.974922,0.911392,0.917563,0.300000,0.821705,0.921212,0.764706,0.987354,0.697248,0.291667,0.776000,0.916129,0.916053,0.847059,0.954037,0.480000,0.721088,0.835165,0.875000
25,phase2,0.903995,0.716959,0.987905,0.559387,0.200000,0.701754,0.869432,0.949473,0.837500,0.934686,0.238095,0.655319,0.849558,0.820399,0.982676,0.480263,0.192308,0.776699,0.829912,0.937545,0.893333,0.954663,0.294118,0.875000,0.917197,0.761317,0.993191,0.669725,0.208333,0.640000,0.912903,0.961708,0.788235,0.915528,0.200000,0.523810,0.791209,0.889423
26,phase2,0.917385,0.751734,0.991703,0.632000,0.217391,0.735931,0.895522,0.951428,0.850000,0.941463,0.290909,0.777778,0.875000,0.861678,0.995103,0.560284,0.227273,0.801887,0.921502,0.958178,0.906667,0.924551,0.266667,0.794326,0.905882,0.815451,0.988327,0.724771,0.208333,0.680000,0.870968,0.944772,0.800000,0.959006,0.320000,0.761905,0.846154,0.913462
27,phase2,0.913754,0.756378,0.990282,0.626016,0.230769,0.731092,0.890323,0.949850,0.852071,0.940224,0.363636,0.807018,0.867816,0.827434,0.989320,0.562044,0.214286,0.769912,0.890323,0.965753,0.857143,0.942572,0.292683,0.833333,0.909639,0.766393,0.991245,0.706422,0.250000,0.696000,0.890323,0.934462,0.847059,0.937888,0.480000,0.782313,0.829670,0.899038
28,phase2,0.918520,0.771162,0.990781,0.636364,0.272727,0.740741,0.892744,0.952632,0.891566,0.944169,0.430769,0.774411,0.891429,0.835616,0.988383,0.578947,0.300000,0.762712,0.873457,0.973118,0.913580,0.942999,0.350000,0.766667,0.928571,0.795652,0.993191,0.706422,0.250000,0.720000,0.912903,0.932990,0.870588,0.945342,0.560000,0.782313,0.857143,0.879808
29,phase2,0.917839,0.769712,0.989362,0.652542,0.250000,0.747967,0.893417,0.947849,0.880952,0.936740,0.400000,0.797251,0.883978,0.856481,0.983654,0.606299,0.312500,0.760331,0.868902,0.981087,0.891566,0.917759,0.342857,0.805556,0.888889,0.825893,0.995136,0.706422,0.208333,0.736000,0.919355,0.916789,0.870588,0.956522,0.480000,0.789116,0.879121,0.889423
30,phase2,0.922833,0.785128,0.989341,0.678112,0.260870,0.764228,0.903846,0.949127,0.895706,0.940181,0.456140,0.837370,0.890756,0.855856,0.985521,0.637097,0.272727,0.776860,0.898089,0.979624,0.935897,0.915294,0.406250,0.852113,0.908571,0.805085,0.993191,0.724771,0.250000,0.752000,0.909677,0.920471,0.858824,0.966460,0.520000,0.823129,0.873626,0.913462
31,phase2,0.894689,0.701138,0.976145,0.505263,0.241379,0.699187,0.863711,0.947256,0.813953,0.923674,0.121212,0.685535,0.789157,0.847185,0.957865,0.592593,0.205882,0.710744,0.879599,0.917818,0.804598,0.963563,0.097561,0.637427,0.873333,0.957576,0.995136,0.440367,0.291667,0.688000,0.848387,0.978645,0.823529,0.886957,0.160000,0.741497,0.719780,0.759615
